Iteration,ExecutionTime(ns),CpuLoad(%),MemoryUsed(bytes),CpuPower(W)
0,1488978000,8.90,312811520,14.02
1,1507889200,7.22,24338432,14.29
2,1491047400,10.83,5513216,14.04
3,1489995800,12.56,2170880,14.60
4,1498439000,6.92,0,14.60
5,1468885600,6.97,0,17.01
6,1513361300,6.93,0,14.99
7,1492901500,6.81,0,14.53
8,1510104800,7.11,0,13.83
9,1477281700,6.54,0,13.83
10,1483204400,8.05,0,14.01
11,1505579800,9.04,0,14.48
12,1497089600,8.34,65536,15.12
13,1502329200,6.90,0,15.12
14,1488002500,7.45,0,13.71
15,1505352700,7.33,0,14.66
16,1494205900,7.39,0,14.44
17,1494527400,6.71,0,14.44
18,1493097500,7.14,0,14.06
19,1497727600,6.78,0,14.15
20,1499090100,6.69,0,13.79
21,1495968500,6.64,0,13.79
22,1478161500,12.48,0,14.37
23,1481636100,12.36,28672,14.55
24,1495702000,8.80,0,17.88
25,1497679900,6.51,0,17.88
26,1488528100,6.89,0,14.24
27,1490155200,7.01,0,14.44
28,1482848000,7.22,0,14.02
29,1476151800,7.03,0,14.42
30,1481278800,6.60,0,14.42
31,1483016200,8.04,0,14.46
32,1484048000,7.43,0,15.05
33,1487035800,6.76,0,13.97
34,1486056400,7.12,0,13.97
35,1504910700,8.09,0,14.23
36,1486608700,9.16,0,14.26
37,1483541000,7.78,0,14.32
38,1481326900,6.49,0,14.32
39,1505468100,6.81,0,14.29
40,1488016700,6.83,0,14.38
41,1490965100,7.44,0,13.83
42,1469335400,13.11,0,13.83
43,1480872000,10.57,0,14.50
44,1487277800,6.92,0,17.02
45,1484537100,6.83,65536,14.72
46,1494404100,6.67,0,14.72
47,1494677800,7.26,0,14.48
48,1499297700,9.00,0,14.45
49,1507747700,8.66,0,13.39
50,1490508700,8.08,0,13.39
51,1481238000,7.23,0,13.69
52,1484575800,7.46,0,14.12
53,1478031800,7.50,0,14.30
54,1474361200,8.59,0,14.30
55,1473909500,7.55,4096,14.72
56,1465609600,7.18,0,16.68
57,1478550800,8.17,0,15.19
58,1487372600,7.12,0,15.19
59,1471800100,6.83,0,14.39
60,1473995200,8.51,0,14.47
61,1482689400,10.12,0,14.45
62,1463299400,14.17,0,14.45
63,1475518000,8.68,0,14.52
64,1472189500,7.08,0,17.78
65,1469697400,6.60,0,14.07
66,1468042500,6.59,0,14.07
67,1471139000,7.03,0,14.60
68,1469569900,6.70,0,14.04
69,1479010000,6.98,0,13.75
70,1465584800,7.11,0,13.75
71,1477113700,6.73,0,13.95
72,1470821100,7.50,0,14.36
73,1518017700,8.65,0,14.82
74,1483856100,8.21,0,14.82
75,1470169500,7.34,0,13.57
76,1466695700,7.06,0,13.57
77,1465278600,7.39,0,13.74
78,1462086000,6.42,0,13.74
79,1468403400,6.94,0,14.44
80,1474976600,7.42,0,15.07
81,1458550600,7.92,0,14.38
82,1466114600,12.90,0,14.38
83,1464164600,9.26,0,15.33
84,1462924200,6.71,0,18.16
85,1471256900,8.38,0,14.74
86,1469113900,9.32,0,14.74
87,1467438800,7.75,0,14.50
88,1461262000,7.10,0,14.50
89,1463942400,6.83,65536,14.75
90,1469523300,6.81,0,14.75
91,1471718700,7.09,0,14.45
92,1464311500,7.21,0,14.29
93,1460489000,6.29,0,14.29
94,1467921900,6.86,0,14.64
95,1454103100,6.89,0,14.63
96,1471658000,6.95,0,14.09
97,1450735500,6.80,0,14.09
98,1460874900,8.36,0,14.52
99,1457040000,8.29,0,14.76
100,1455437400,6.83,0,14.39
101,1456233800,6.74,0,14.39
102,1469055200,12.78,0,14.25
103,1476366200,10.77,0,14.91
104,1462541400,6.93,0,16.17
105,1474537300,6.56,0,16.17
106,1458034400,6.70,0,14.59
107,1458123800,6.97,0,13.74
108,1463600600,7.02,0,14.68
109,1452467900,6.87,0,14.68
110,1456825500,7.81,0,14.32
111,1472877800,8.33,0,14.58
112,1457341900,7.71,0,14.45
113,1452250000,7.11,0,14.45
114,1452191200,7.25,0,14.22
115,1462687000,7.51,0,14.89
116,1463646500,6.74,0,14.08
117,1467230700,6.63,0,14.08
118,1462114700,6.96,0,13.63
119,1481878900,7.03,0,13.82
120,1469591700,6.89,0,14.64
121,1460620800,6.90,0,14.64
122,1470112800,12.24,0,14.74
123,1474491700,12.82,0,14.52
124,1452597400,8.19,0,14.52
125,1462518200,7.34,0,16.69
126,1480237000,6.84,65536,14.98
127,1461540700,6.70,0,14.21
128,1457520700,6.40,0,14.21
129,1459343200,7.23,0,14.28
130,1466365000,7.55,0,14.59
131,1464417000,7.44,0,15.66
132,1455162500,6.79,0,15.66
133,1473751700,7.20,0,15.20
134,1529502200,6.85,0,14.50
135,1515841400,8.46,0,14.35
136,1514481200,8.23,0,14.35
137,1562796500,7.00,0,13.59
138,1524495000,8.00,0,13.82
139,1519655600,6.82,0,13.82
140,1566417500,6.55,0,14.31
141,1513649900,6.53,0,14.31
142,1489731100,12.72,0,13.24
143,1504101200,10.20,0,14.40
144,1480251600,7.09,0,17.55
145,1494163700,6.52,0,17.55
146,1507776100,6.95,0,14.33
147,1528553900,7.44,0,14.46
148,1540321400,9.19,1638400,13.86
149,1552419800,7.55,0,13.75
150,1536240200,7.58,0,13.75
151,1497927200,7.00,0,13.75
152,1516477800,6.86,0,13.56
153,1513677100,7.00,0,13.67
154,1504029700,6.46,0,13.67
155,1529201300,7.44,0,13.41
156,1521955100,6.88,0,13.94
157,1512682100,6.70,0,14.13
158,1486585100,6.91,0,14.13
159,1488456700,7.46,0,14.32
160,1507617200,8.80,65536,14.68
161,1514548600,10.44,0,14.01
162,1487914200,13.25,8192,14.01
163,1519380200,7.96,0,14.39
164,1573926000,6.80,4096,14.26
165,1516382800,6.81,0,18.43
166,1492368400,7.02,0,14.01
167,1524266400,6.72,0,14.01
168,1521605100,7.13,20480,13.58
169,1537462600,7.31,0,14.00
170,1529938700,7.32,0,13.65
171,1525984900,7.78,393216,13.65
172,1486122000,9.21,0,13.92
173,1475437700,9.24,0,14.06
174,1473710900,7.65,0,14.29
175,1473494200,7.21,0,14.29
176,1467545100,6.64,0,14.80
177,1474052800,7.02,0,14.30
178,1474879400,7.16,0,14.18
179,1481120800,6.27,0,14.18
180,1475292300,7.22,0,14.56
181,1490113500,11.29,0,14.56
182,1490864700,11.36,0,13.89
183,1475597600,6.79,0,13.89
184,1481542000,8.07,8192,14.82
185,1470464800,9.76,0,16.25
186,1474341800,7.48,65536,14.60
187,1473721400,6.85,0,14.60
188,1474658900,7.16,0,14.11
189,1474394700,6.64,0,14.02
190,1479070100,6.57,0,14.49
191,1470271900,7.05,0,14.49
192,1475284300,6.48,0,14.58
193,1474501600,6.52,0,13.70
194,1478033400,7.04,0,14.42
195,1473534200,6.79,0,14.42
196,1466315700,7.08,0,13.83
197,1480248800,9.03,0,15.19
198,1482803100,8.20,0,14.15
199,1470243200,6.98,0,14.15
200,1476784000,7.16,0,14.39
201,1476014800,11.53,0,13.80
202,1481849300,12.07,0,14.96
203,1468242700,6.83,1814528,14.96
204,1481818600,7.35,0,15.01
205,1475014600,6.90,0,17.80
206,1489060700,7.17,0,13.91
207,1480035200,6.84,0,13.91
208,1477295700,6.76,0,14.39
209,1470428300,9.12,0,14.28
210,1477106000,8.91,0,14.98
211,1495893600,10.57,0,14.98
212,1483786800,7.93,0,14.63
213,1487232700,7.21,0,14.16
214,1518234500,6.69,0,16.76
215,1565007500,10.87,0,16.76
216,1467841800,12.70,0,13.87
217,1527511200,11.87,0,14.37
218,1508818900,6.90,184320,14.97
219,1471920900,7.08,0,15.69
220,1501258900,6.33,65536,15.69
221,1492945200,13.69,0,14.78
222,1523856400,13.28,4096,14.50
223,1502672900,7.38,0,15.21
224,1518434000,6.77,0,15.21
225,1508155700,7.65,0,16.78
226,1525256300,6.73,0,13.82
