algorithm,avg_execution_time,min_execution_time,max_execution_time,avg_cpu_load,min_cpu_load,max_cpu_load,avg_memory_used,min_memory_used,max_memory_used,avg_cpu_power,min_cpu_power,max_cpu_power,avg_energy_consumption,min_energy_consumption,max_energy_consumption,total_iterations,test_date
AES_ECB_128_db/test_datasets/plaintext_KB10.txt,22857,8600,685000,0.197226837,0,7.19,555642,0,15675392,20.154491,11.3,29.87,0.000460671,0.000132254,0.02046095,1000,4/5/2025 17:56
AES_ECB_128_db/test_datasets/plaintext_KB50.txt,22998,9200,397300,0.191716259,0,6.94,533385,0,11554816,17.999161,8.28,30.97,0.000413945,0.000132112,0.009006791,1000,4/5/2025 17:56
AES_ECB_128_db/test_datasets/plaintext_KB100.txt,26444,8800,1422300,0.187133242,0,7.02,549924,0,15044608,18.369289,6.95,29.89,0.000485757,0.000130403,0.042512547,1000,4/5/2025 17:57
AES_ECB_128_db/test_datasets/plaintext_KB500.txt,24847,9000,1172600,0.195838839,0,7.57,630710,0,13811712,18.8541962,-1,27.88,0.00046847,-0.0000107,0.032692088,1000,4/5/2025 17:57
AES_ECB_128_db/test_datasets/plaintext_MB1.txt,2144466,1513200,17533500,0.23418183,0,6.95,975499,0,71430144,18.949466,10.53,30.78,0.040636486,0.019525779,0.352304802,1000,4/5/2025 17:58
AES_ECB_128_db/test_datasets/plaintext_MB2.txt,3974948,3051400,13868000,0.280690537,0,8.13,702050,0,74350592,17.092863,10.03,26.61,0.067943242,0.032665704,0.303157086,1000,4/5/2025 17:58
AES_ECB_128_db/test_datasets/plaintext_MB4.txt,7542321,6268100,18633100,0.314951405,0,7.15,697516,0,95641600,17.214514,9.27,28.84,0.12983739,0.062457552,0.461217932,1000,4/5/2025 17:59
AES_ECB_128_db/test_datasets/plaintext_MB8.txt,14827584,13115000,26750100,0.440989318,0,8.77,545878,0,157425664,17.710329,14.73,26.82,0.262601391,0.197238266,0.684535059,1000,4/5/2025 17:59
AES_ECB_128_db/test_datasets/plaintext_MB16.txt,30246018,27317200,47003800,0.645773806,0,13.38,445902,0,202162176,16.632777,14.52,25.29,0.503075273,0.400043424,1.055705348,1000,4/5/2025 18:00
AES_ECB_128_db/test_datasets/plaintext_MB32.txt,61199567,56640900,67785100,1.048911135,0,7.54,531918,0,356630528,16.157294,14.74,31.58,0.988819397,0.845267421,2.030849798,1000,4/5/2025 18:02
